Q70208	municipality of Switzerland
Q30892871	inhabited area
Q31271043	Neighbourhoods of Rīga
Q32597970	Bremerhaven district
Q33101426	urban council of Ukraine
Q33146843	municipality of Catalonia
Q34843301	capital of county in Romania
Q34982659	quarter of Bucharest
Q34985575	city district
Q34986717	city of Malaysia
Q35034452	locality of Berlin
Q655593	emporia
Q660088	garden city
Q666943	associated commune
Q1154868	displaced persons camp
Q1155688	Thesaban
Q1163745	Majsamiklósvár
Q1169748	cascina a corte
Q1187811	college town
Q1198413	military camp
Q1208802	direct-controlled municipality
Q1214953	large village of Hungary
Q1231558	smart city
Q1762524	planned community in France
Q1763214	municipio
Q1768043	Metropolitan Statistical Area
Q1770306	Südtiroler-Siedlung
Q702842	municipal arrondissement
Q702869	municipal arrondissement of Lyon
Q702875	municipal arrondissement of Marseille
Q707813	Hanseatic city
Q737681	municipalities with language facilities
Q738570	central business district
Q738847	canaba
Q742313	Sardinian Judicati
Q192601	oppidum
Q200209	cities of Ukraine
Q679388	municipal arrondissement of Paris
Q681277	city with county rights
Q685309	former municipality of Switzerland
Q685320	municipality of Qatar
Q2716259	metropolitan municipality in Turkey
Q2740635	Stadtbezirk
Q2755753	area of London
Q2779745	urban district of the Netherlands
Q2781990	free village of Liège
Q2786687	Steenhuis
Q2795367	neighborhood in Utrecht
Q2215397	English-language word ""city""
Q2218838	list of municipalities in Nova Scotia
Q2225692	fourth-level administrative division in Indonesia
Q2225945	satellite village
Q2235075	centre city
Q2264924	port settlement
Q161387	kibbutz
Q163301	Ortsbezirk of Germany
Q174844	megacity
Q184889	Zeilendorf
Q187768	cities and towns in Russia
Q188509	suburb
Q2583015	ghetto in Nazi-occupied Europe
Q2590631	municipality of Hungary
Q2602693	municipality of Honduras
Q2616791	urban municipality of Poland
Q1714048	Jurydyka
Q1719244	subcamp
Q1729821	Schweizer Nationalgestüt
Q1739536	inner city
Q1743100	church town of Sweden
Q1745026	naval arsenal
Q1748732	movie ranch
Q1749269	city designated by government ordinance
Q1266818	independent city
Q1269448	retirement community
Q1269749	town with fewer than 5000 inhabitants
Q1272305	University village (Leipzig)
Q1281153	technology park
Q1288520	local council in Israel
Q1294703	shanty town
Q693827	favela
Q702492	urban area
Q755707	municipality of Norway
Q756780	colonia
Q763590	vicus
Q188913	plantation
Q42402287	cité
Q42619282	municipal okrug of Saint Petersburg
Q42744322	urban municipality of Germany
Q42811590	farmyard
Q42961155	quarter of Milan
Q43185013	maritime republic
Q44529188	town
Q44551483	city
Q47254761	village in Finland
Q47320699	Parish of Nicosia Municipality
Q47320766	Parish of  Ayios Dhometios Municipality
Q47320775	Parish of Strovolos Municipality
Q47320785	Parish of Lakatamia Municipality
Q47320794	Parish of Latsia Municipality
Q47320804	Parish of Dali Municipality
Q47320814	Parish of Kythrea Municipality
Q47320908	Parish of  Morphou Municipality
Q47320925	Parish of Prastio Nicosia
Q47320938	Parish of Spilia
Q47320952	Parish of Karavostasi
Q47320964	Parish of  Xerovounos
Q47325026	Parish of Keryneia Municipality
Q47325112	Parish of Karavas Municipality
Q47325202	Parish of Lapithos Municipality
Q47325770	Parish of Paphos Municipality
Q47325870	Parish of Yeroskipou Municipality
Q47325959	Parish of Polis Chrysochous Municipality
Q203300	municipality of Liechtenstein
Q205181	offshore financial centre
Q213468	municipium
Q215712	urban heat island
Q218739	Entrepôt
Q748331	stanitsa
Q751708	village in the United States
Q752596	Cities of Refuge
Q55780222	Roman colonies in Berber Africa
Q55863584	former municipality of Spain
Q56152103	Greenbelt town
Q56293109	Civic community
Q56309822	El Houma
Q56398194	core municipal part with the same name as the municipality in the Czech Republic
Q56436498	village in India
Q56557504	city of Iran
Q56557664	şəhər
Q56575365	city of krai significance
Q56580032	city of republic significance
Q56580326	city of okrug significance
Q56580425	city of oblast significance
Q56885310	compact rural community
Q56885635	Dispersed rural community in Canada
Q57416832	former municipality of Greenland
Q57946620	pig farm
Q57976957	historic hamlet
Q58034368	Rrumbullak
Q58034386	Sallbegaj
Q58042577	Steblevë
Q58043944	Prrenjas-Fshat
Q58339518	town in India
Q58339717	city of India
Q59341087	town in Nova Scotia
Q59501724	human settlement of Cyprus Republic
Q59772144	startup center
Q60351842	Complex of Communities of Cyprus Republic
Q60458065	city
Q60723709	re-education camp
Q60849925	municipal district in Russia
Q1128906	medina quarter
Q1130491	Sloboda
Q1131233	Monotown
Q1132300	metropolitan region in Germany
Q1134686	frazione
Q2827758	Ai no shuku
Q2841546	neighborhood of Utrecht
Q2843044	tree farm
Q2844893	cidade
Q2845944	former arrondissement of Paris
Q2888533	Gesher HaZiv
Q2907285	youth village
Q2908791	Israeli outpost
Q2911266	borough of New Jersey
Q2912045	Summer capital
Q2917049	Jewish ghetto in Europe
Q2935245	concentration camp in France
Q211450	closed city
Q211690	London borough
Q190928	shipyard
Q1650922	rural municipality
Q1652571	hut village
Q1656724	ideal city
Q1662100	industrial park
Q1662118	Industrial city
Q1669338	Ortslage
Q1683373	Edo-period village
Q1708422	settlement site
Q236371	orchard
Q243882	Zwerchhof
Q244793	twin cities
Q745456	business cluster
Q747074	comune of Italy
Q1137833	core city of Japan
Q1138414	hermitage
Q1145012	special city of Japan
Q3032041	local service district
Q3032114	district of Madrid
Q3055075	entertainment district
Q200250	metropolis
Q713146	County-administered city
Q719592	local council of Malta
Q735428	town in China
Q2267870	independent community
Q2276760	longtang
Q2276925	municipality of Galicia
Q2282602	housing estate
Q2288876	farm with camp site
Q2324785	Amsterdam as a gay capital
Q2324952	Poljana, Prevalje
Q2327515	city district of Baden-Württemberg
Q245260	conurbation
Q250811	sub-province-level division
Q3199141	city of Indonesia
Q3243765	municipality of Argentina
Q3249005	provincial city
Q3252927	parish in New Brunswick
Q3257686	locality
Q90133396	Borokalia Nashkara
Q90881611	castle town
Q91730648	urban-type settlement in Belarus
Q91733160	urban settlement in Belarus
Q91733598	resort settlement in Belarus
Q91733790	worker settlement in Belarus
Q93431946	civitas stipendiara
Q93445941	stork village
Q93664896	neighborhood of Jordan
Q94140445	Royal Herd of Aranjuez
Q96096605	Farmhouses in Hälsingland
Q96180429	city district of Langenhagen
Q96857311	Village of Guam
Q96948740	former municipality of the Faroe Islands
Q97145897	Kanalgehöft
Q97312698	City district in Hannover, Germany
Q97384443	rubber plantation
Q97410416	derevnya
Q97441319	worm farm
Q97460874	Hali
Q97706291	market settlement
Q98058553	municipal employee
Q515	city
Q3957	town
Q3413329	neighborhood in Boston
Q3413345	neighbourhood of Toulouse
Q3446093	Saltpeter works
Q3475734	Science Parks of Wallonia
Q3477348	urban sector
Q3480610	Sestiere di Milano
Q3480608	Sestiere of Rapallo
Q3485393	Complutum
Q3491915	urban-rural municipality of Poland
Q3497366	whaling station
Q3500564	municipality of Nuevo León
Q3055118	single entity of population
Q3067318	Faubourgs of Montreal
Q3068961	city farm
Q3111821	list of communities in New Brunswick
Q3113369	Little Saigon
Q3147563	regency seat
Q3184121	municipality of Brazil
Q278976	borough of Hamburg
Q287414	neighborhood in New York City
Q295472	ecovillage
Q2989421	concejo de Navarra
Q2989454	commune nouvelle
Q2989457	urban-type settlement
Q2989468	Communes d'arrondissement of Senegal
Q2997091	municipality of Tamaulipas
Q317548	resort town
Q317669	district of Düsseldorf
Q318727	municipality of Nicaragua
Q328468	Nazi concentration camp
Q55118936	Kirchgemeinde
Q55137114	British concentration camps
Q55237813	village of New York
Q55313685	municipality of Macau
Q55430416	town in Alberta
Q55440238	city in Alberta
Q55506436	Xinjiang internment camps
Q55612423	General Law City
Q55669439	ostrich farm
Q55774719	township municipality in Ontario
Q3333855	Métropole
Q3350685	olive grove
Q3354019	seat farm
Q3374262	market town
Q3394564	quarter of Luxembourg City
Q3412193	business cluster in France
Q261023	district of Vienna
Q262166	municipality of Germany
Q4442912	capital of Russia
Q4443227	Stone Age settlement site
Q4632675	dwelling place
Q4668360	Aboriginal community in Western Australia
Q4677538	active adult housing
Q4688498	aerotropolis
Q4691828	age-restricted community
Q4693828	tourist farm
Q4693952	Agricultural commune
Q4700325	Akasen
Q4797182	art commune
Q4804181	asentamiento
Q4826120	auto row
Q4826725	automotive city
Q4858354	barangay
Q4875694	Beach Cities
Q4896947	re-education camp
Q4922356	black jail
Q4943467	Boomburb
Q3284867	cendea of Navarre
Q3298871	sundown town
Q3301053	consolidated city-county
Q3317612	historic grouping
Q3327752	clachan
Q3327862	urban commune of Morocco
Q771444	aul
Q777120	borough of Pennsylvania
Q779426	urban district of Hungary
Q780287	Aussenwacht
Q780454	Aussiedlerhof
Q782970	Domus
Q69465104	morería (neighborhood)
Q70036182	city of Taiwan under Japanese rule
Q70780172	tea plantation
Q71144301	metropolitan region
Q72025746	gateway city
Q72030539	farmstead
Q74293993	rural municipality
Q74403295	Village Haji Ali Muhammad Rahu
Q75021917	neighborhood in Amman
Q75135432	administrative quarter in Barcelona
Q75338598	municipal part of Prague
Q75880277	barrio of El Salvador
Q75883519	colonia
Q75884168	colonia of El Salvador
Q76514543	municipality of Georgia
Q78053217	basic unit of settlement
Q78764992	port town
Q78816625	Medieval villages in France
Q79323854	city of oblast subordinance
Q79324274	city of raion surbodinance
Q3920245	Historical city of Russia
Q3927247	borough of Florence
Q3927244	boroughs of Bologna
Q3927245	quarter of Brescia
Q3927250	quarter of the city of Lugano
Q3927259	quarter of Reggio Calabria
Q3927262	district of Salzburg
Q3927261	quarter of Naples
Q3931970	metropolitan region in Brazil
Q4012861	mill town
Q4056979	agglomeration of Russia
Q4057659	Subdivision of Kyiv
Q4057819	Subdivision of Odessa
Q4057902	Military shipyard
Q4102813	Valentinovka
Q4129217	vyselok
Q4155473	vacation village
Q15284	municipality
Q3685462	commune of Haiti
Q3685476	abolished municipality in Italy
Q3689003	contrada
Q3689087	suppressed Contrada of Siena
Q3700328	military croft
Q3710552	cultural district
Q3711763	tourist district
Q3744870	township
Q3752524	gmina's auxiliary unit
Q3788231	Municipal government in Canada
Q3835961	località
Q3867179	municipality of Naples
Q3867183	municipalità of Venice
Q47326153	Quarter of Larnaca Municipality
Q47326217	Quarter of Aradippou Municipality
Q47326257	Quarter of Dromolaxia-Meneou Municipality
Q47328627	Parish of Famagusta Municipality
Q47328699	Parish of Aigialousa
Q47328702	Parish of Rizokarpaso
Q48098186	Neighborhoods in Zaragoza
Q48731335	village of Brunei
Q49271840	Village-level division of Republic of China
Q49956097	paleolithic site
Q50330360	second largest city
Q50809253	alev
Q51049922	village
Q51929311	largest city
Q271035	neighborhood unit
Q272888	red-light district
Q273615	sovkhoz
Q3327870	municipal corporation in the United States
Q3327871	district municipality
Q3327874	rural municipality of Canada
Q3327873	local municipality of Quebec
Q3327899	municipality of Ontario
Q3327920	municipality of Venezuela
Q3332809	Megastructures
Q4174776	village of Japan
Q4189057	Supernumerary town
Q4249901	specific city
Q4272761	administrative city of Indonesia
Q4285979	gampong
Q4286337	city district
Q251749	pueblo
Q252021	villa rustica
Q252708	list of municipalities in New Jersey
Q253019	Ortsteil
Q532	village
Q3558430	villa
Q3558965	Cree village
Q3558970	village of Poland
Q3558972	airpark
Q3559003	northern village
Q3559019	urban village
Q3559024	village of Senegal
Q3559093	sanctuary city
Q60913568	village in Russia
Q60995739	moated settlement
Q61089180	part of municipality in the Czech Republic
Q61297932	neighborhood in Manhattan, New York City
Q61298024	neighborhood in Queens, New York City
Q61298104	neighborhood in Bronx, New York City
Q61298209	neighborhood in Staten Island, New York City
Q61298320	neighborhood in Brooklyn, New York City
Q61492541	urban area in Finland
Q61708053	independent city of Saxony-Anhalt
Q61708099	urban district in Saxony
Q61729985	Little Italy
Q61747322	urban district of Thuringia
Q61763947	municipality of Aragon
Q61793478	district independent city of Brandenburg
Q2945522	nudist community
Q2974142	circulade
Q2974552	city in New Jersey
Q2974842	lost city
Q2979655	closerie
Q2989369	rural community of New Brunswick
Q2989398	commune of Algeria
Q2989400	commune of Morocco
Q65660829	chutar
Q65661087	village in Belarus
Q65665664	pasiolak
Q66126784	municipality of Sonora
Q66458650	sociological neighborhood
Q66467322	former neighbourhood
Q66493917	proprietærgård
Q66626342	urban ensemble
Q66626479	Pátio
Q66765132	Medieval hilltop towns in Italy
Q67123843	town divided by border
Q67259991	Hinterland communities of  South East Queensland
Q67927652	village in Malaysia
Q68889614	rural municipality
Q68979886	ward of Girona
Q68982447	sector of Girona
Q69391739	Greek colony
Q329245	basic unit of settlement in Czechia
Q329683	industrial park
Q338313	business park
Q5769220	cigarral
Q5770438	Citânia
Q5770918	city of Argentina
Q5844636	model farm
Q5871700	fundus
Q5874958	Hobby farm
Q5875137	Hobohemia
Q5916199	housing development
Q5951278	urban area
Q5978208	locality of Colombia
Q6005581	municipality of the Dominican Republic
Q6017815	Kishlak
Q5124027	city proper
Q5124028	City region
Q5124045	city with special status
Q5137839	Coal town
Q5148198	colonia
Q5148433	Colonias of Mexico City
Q5153359	municipality of the Czech Republic
Q5158311	poverty area
Q5175541	Cottage country
Q15334	municipality of Poland
Q61856863	urban district in Schleswig-Holstein
Q61980648	urban district of Hesse
Q62251453	village of Cambodia
Q62394014	Quarters of Aachen
Q63208468	city in Ecuador
Q63208555	city in Gabon
Q63209072	city in Colombia
Q63440326	city of Oregon
Q63441182	Sponge city
Q64210393	Kurdish village
Q64515521	Municipality of South Vietnam
Q64636958	school district of Oregon
Q64648301	Yawkasakrom
Q64911820	populated area of the city of Alicante
Q64913082	neighborhood of Alicante
Q65037959	village site
Q65038006	foundation of a house
Q65048099	foundations of goahti
Q65064889	Bronze Age settlement site
Q65065011	Iron Age settlement site
Q65131977	Almaty (district of Aktobe)
Q65562265	Hermitage of San Miguel de Arretxinaga
Q65589340	capital of a prefecture of Japan
Q7245779	prison farm
Q7246209	private housing estate in Hong Kong
Q7251867	proto-city
Q7265977	former municipality of the Netherlands
Q7268568	former grietenij
Q7290796	ranchería
Q7315048	Research-Intensive Clusters
Q7315175	research park
Q7315416	residence park
Q7366200	Rookery
Q7374547	Royal Navy Dockyard
Q7535038	skid row
Q7549943	sober living house
Q7551933	mahallah
Q4946304	borough of Connecticut
Q4946305	borough in the United States
Q4946361	Boroughs of Canada
Q5055981	Conceyu d'Asturies
Q5068175	Chak
Q5100179	Chinatowns in Africa
Q5100181	Chinatowns in Asia
Q5100185	Chinatowns in the Middle East
Q5107861	medieval commune
Q5123999	city of regional significance of Ukraine
Q5123997	city of federal subject significance of Russia
Q15110	metropolitan city of Italy
Q7899896	Urban Employment Area
Q7900093	urban area of New Zealand
Q7900128	Urban kibbutz
Q7900183	urban township of Ohio
Q7900180	urban township of the United States
Q7900181	urban township of Michigan
Q7930611	village of Oregon
Q7930614	village of Taiwan
Q7930615	village of Vermont
Q7930612	village of New Jersey
Q7930989	city/town
Q5084	hamlet
Q3559137	Gallo-Roman city
Q3559227	City in Ireland
Q3565075	Raions of cities in Ukraine
Q3575763	permanent autonomous zone
Q3578796	Ecodistrict
Q3593580	îlet
Q3610510	ethnic enclave
Q3624938	city district of Brazil
Q3632873	Bailey
Q3674986	Chinatowns in Europe
Q3677930	quarter of Messina
Q3677936	circoscrizioni di Torino
Q3678424	city with special status
Q3685434	municipality of Uruguay
Q262882	statutory city of Austria
Q263639	municipality of Puerto Rico
Q269528	unincorporated area
Q6024226	metropolitan municipality
Q6028003	Industrial suburb
Q6035676	inner suburb
Q6148126	jamoat
Q6158221	Japanese Immigrant Villages in Taiwan
Q6190055	Jewish ghetto in German-occupied Poland
Q6190136	Jewish settlement
Q6344036	neighborhood in Almería
Q6350957	district of Cartagena, Spain
Q6373489	Kartah
Q6566301	urban area in Nordic countries
Q6593035	separated municipality in Ontario
Q6609673	list of cities in British Columbia
Q6609748	city of New Brunswick
Q52132873	town
Q52154375	district or neighborhood of Los Angeles
Q52994899	unincorporated area of Greenland
Q54115138	municipality of New Jersey
Q54809707	Quarter of Kato Polemidia Municipality
Q54864872	Quarter of Mesa Geitonia Municipality
Q54865711	Quarter of Yermasoyia Municipality
Q54867049	Quarter of Ayios Athanasios Municipality
Q54935504	city of Switzerland
Q54935786	medium district town
Q54980441	Pishaj
Q55118208	internment Camp for Romani people
Q79413632	city part of Innsbruck
Q79416466	Neighborhood of Frankfurt
Q79633016	Broumov farmhouses
Q79791637	fermtoun
Q81324829	temporary camp associated with the Antonine Wall
Q81830252	Byzantine city
Q82350989	unenclosed settlement
Q83854831	family camp
Q83857655	hostage camp
Q83859074	women's camp
Q83861849	tent camp
Q83863399	men's camp
Q85631896	urban district of Bavaria
Q85632032	urban district of Rhineland-Palatinate
Q85635301	urban district of Mecklenburg-Vorpommern
Q85635630	urban district of North Rhine-Westphalia
Q85635638	urban district of Bremen
Q85635929	urban district of Lower Saxony
Q85636199	urban district of Hamburg
Q85775242	Kāinga
Q85875185	Morería (city)
Q87412232	Alsaroti Corner Building
Q87518090	municipal sector
Q87542664	sector of Marseille
Q88397339	Railway point in Canada
Q89031988	provincial municipality of Turkey
Q89487741	city of Bulgaria
Q98556505	Railway towns in Australia
Q22865	independent city of Germany
Q24764	municipality of the Philippines
Q6838968	Kozhuun
Q6888356	model village
Q6936383	municipality of Lebanon
Q6936404	Municipalities of the State of Palestine
Q6957995	villages of Kulp, 1928
Q6980841	Naturally occurring retirement community
Q6988049	Neighborhood planning unit
Q6988077	neighborhoods in Providence
Q6988097	neighborhoods of Jacksonville
Q6988184	neighbourhood of Delhi
Q7005232	New Age communities
Q7068215	nucleated village
Q7112842	outpost
Q7113057	outstation
Q7132722	paper township
Q7199986	Pizza farm
Q7201627	plantations in the American South
Q7209617	Police village
Q7216840	urban-type settlement in Ukraine
Q253270	borough of Munich
Q257391	federal capital
Q257978	statutory city
Q258913	kontor
Q18702	Royal free city
Q22715	vineyard
Q5177804	county island
Q5195043	borough
Q5215430	danchi
Q5228121	dava
Q5251732	defunct townships of Cuyahoga County, Ohio
Q5256322	demonstration farm
Q5268974	Dhani and villages
Q5283507	district of Davao City
Q5327369	chōchō
Q5327509	koaza
Q5327704	special ward of Japan
Q9093938	Walled villa
Q9286736	Hato
Q10267336	neighborhood of Madrid
Q10270157	new town
Q10280357	favela in São Paulo
Q10354598	rural settlement
Q10377997	Water town (China)
Q10433151	civic municipality
Q10499251	vacation area
Q106079704	independent component city
Q106342591	new area of the People's Republic of China
Q106464094	Bura-Buri Than
Q106464977	Built-up area
Q106468588	Jewish settlement in the land of Israel
Q106491242	community district of New York City
Q106491314	community district of Manhattan
Q106491323	community district of the Bronx
Q106491329	community district of Brooklyn
Q106491334	community district of Queens
Q106491341	community district of Staten Island
Q106518841	Zoom town
Q106520522	heritage village
Q106574296	aduar
Q106577041	historic towns in Australia
Q106594812	Neighborhoods and raions in Ternopil
Q106614007	Orang Asli post
Q106618908	Abadi
Q106626840	historical settlement
Q106803726	country town
Q25691	crocodile farm
Q39463	trading post
Q45263	Hidden village
Q55116	quarter of Monaco
Q4291381	amalgamated hromada
Q4313794	populated place in Georgia
Q4314343	language border municipality
Q4337558	Dorp (Netherlands)
Q4353657	Kronohemman
Q4373615	colony of the Russian empire
Q4374398	urban-type settlement in Uzbekistan
Q4375340	pochinok
Q4389092	district of Moscow
Q4425709	sō
Q4436080	city with a population of more than 10,000 inhabitants in Russia
Q4437001	stanitsa in Russia
Q13218357	city of California
Q13218382	charter city and county
Q13218391	charter city
Q13218690	town in Hungary
Q13410464	county of Maryland
Q10554290	lappstad
Q10564515	monzenmachi
Q10571400	köping
Q10715540	Residential Zone
